Date,Price (EURAUD),Inflation Rate(%),Oil Prices,World Uncertainty Index,,
1/1/2021,1.575,0.9,50.25,3.45,,
1/4/2021,1.5979,,50.37,,,
1/5/2021,1.5841,,53.16,,,
1/6/2021,1.5795,,53.8,,,
1/7/2021,1.5792,,53.7,,,
1/8/2021,1.5743,,55.51,,,
1/11/2021,1.5776,,54.84,,,
1/12/2021,1.57,,55.98,,,
1/13/2021,1.5717,,55.52,,,
1/14/2021,1.5627,,55.76,,,
1/15/2021,1.5678,,54.8,,,
1/18/2021,1.5716,,54.21,,,
1/19/2021,1.5754,,55.38,,,
1/20/2021,1.5622,,55.66,,,
1/21/2021,1.5663,,55.68,,,
1/22/2021,1.5764,,55.22,,,
1/25/2021,1.5744,,55.44,,,
1/26/2021,1.5692,,55.26,,,
1/27/2021,1.5799,,55.07,,,
1/28/2021,1.5776,,54.87,,,
1/29/2021,1.5877,,55.25,,,
2/1/2021,1.5821,0.9,56.42,,,
2/2/2021,1.5827,,57.62,,,
2/3/2021,1.5793,,58.61,,,
2/4/2021,1.5737,,58.98,,,
2/5/2021,1.5682,,59.48,,,
2/8/2021,1.5643,,60.17,,,
2/9/2021,1.5655,,60.74,,,
2/10/2021,1.5688,,61.17,,,
2/11/2021,1.5643,,61.09,,,
2/12/2021,1.5618,,62.47,,,
2/15/2021,1.5585,,63.58,,,
2/16/2021,1.56,,63.96,,,
2/17/2021,1.5524,,65.02,,,
2/18/2021,1.5559,,64.09,,,
2/19/2021,1.5394,,62.84,,,
2/22/2021,1.5352,,64.73,,,
2/23/2021,1.5355,,65.16,,,
2/24/2021,1.5258,,66.85,,,
2/25/2021,1.5464,,66.69,,,
2/26/2021,1.5666,,65.86,,,
3/1/2021,1.5495,1.3,64.56,,,
3/2/2021,1.5459,,63.17,,,
3/3/2021,1.551,,64.7,,,
3/4/2021,1.5486,,67.32,,,
3/5/2021,1.5501,,69.95,,,
3/8/2021,1.5479,,68,,,
3/9/2021,1.5428,,67.03,,,
3/10/2021,1.5415,,67.53,,,
3/11/2021,1.538,,69.34,,,
3/12/2021,1.5388,,68.87,,,
3/15/2021,1.5379,,68.78,,,
3/16/2021,1.5361,,67.95,,,
3/17/2021,1.5358,,67.73,,,
3/18/2021,1.535,,62.11,,,
3/19/2021,1.5371,,64,,,
3/22/2021,1.5401,,63.89,,,
3/23/2021,1.5536,,59.96,,,
3/24/2021,1.5575,,63.7,,,
3/25/2021,1.552,,61.21,,,
3/26/2021,1.5441,,63.77,,,
3/29/2021,1.5411,,64.06,,,
3/30/2021,1.5415,,63.28,,,
3/31/2021,1.5432,,63.52,,,
4/1/2021,1.5455,1.6,63.85,1.10,,
4/2/2021,1.5462,,,,,
4/5/2021,1.5437,,,,,
4/6/2021,1.5495,,61.47,,,
4/7/2021,1.5586,,61.86,,,
4/8/2021,1.5563,,62.09,,,
4/9/2021,1.5612,,61.89,,,
4/12/2021,1.562,,62.38,,,
4/13/2021,1.5635,,62.83,,,
4/14/2021,1.5503,,66.11,,,
4/15/2021,1.5433,,66.13,,,
4/16/2021,1.5492,,65.98,,,
4/19/2021,1.5508,,66.54,,,
4/20/2021,1.5575,,65.34,,,
4/21/2021,1.552,,64.02,,,
4/22/2021,1.5586,,65.07,,,
4/23/2021,1.5616,,65.75,,,
4/26/2021,1.5484,,65.5,,,
4/27/2021,1.5561,,66.25,,,
4/28/2021,1.5554,,67.08,,,
4/29/2021,1.5604,,68.26,,,
4/30/2021,1.5571,,67.73,,,
5/3/2021,1.5537,2,,,,
5/4/2021,1.5587,,68.91,,,
5/5/2021,1.5492,,69.71,,,
5/6/2021,1.5504,,68.62,,,
5/7/2021,1.5502,,68.73,,,
5/10/2021,1.5486,,68.61,,,
5/11/2021,1.5484,,68.83,,,
5/12/2021,1.5622,,69.62,,,
5/13/2021,1.5623,,67.36,,,
5/14/2021,1.5612,,69.24,,,
5/17/2021,1.564,,69.62,,,
5/18/2021,1.5677,,69.01,,,
5/19/2021,1.5746,,66.88,,,
5/20/2021,1.5721,,65.18,,,
5/21/2021,1.5749,,66.72,,,
5/24/2021,1.5749,,68.59,,,
5/25/2021,1.5802,,68.8,,,
5/26/2021,1.5747,,68.93,,,
5/27/2021,1.5737,,69.43,,,
5/28/2021,1.5802,,69.36,,,
5/31/2021,1.5803,,,,,
6/1/2021,1.5744,1.9,70.03,,,
6/2/2021,1.5745,,70.6,,,
6/3/2021,1.5828,,70.71,,,
6/4/2021,1.5719,,71.3,,,
6/7/2021,1.5718,,70.89,,,
6/8/2021,1.5719,,71.39,,,
6/9/2021,1.5752,,71.31,,,
6/10/2021,1.5694,,71.65,,,
6/11/2021,1.5706,,72.05,,,
6/14/2021,1.571,,72.27,,,
6/15/2021,1.5764,,73.38,,,
6/16/2021,1.5757,,73.88,,,
6/17/2021,1.5765,,72.92,,,
6/18/2021,1.5858,,73.1,,,
6/21/2021,1.5807,,74.49,,,
6/22/2021,1.5801,,74.92,,,
6/23/2021,1.5738,,75.22,,,
6/24/2021,1.573,,75.95,,,
6/25/2021,1.5726,,76.45,,,
6/28/2021,1.5754,,74.78,,,
6/29/2021,1.5833,,75.38,,,
6/30/2021,1.5805,,76.94,,,
7/1/2021,1.5857,2.2,76.69,1.39,,
7/2/2021,1.5762,,77.51,,,
7/5/2021,1.575,,78.34,,,
7/6/2021,1.5767,,75.81,,,
7/7/2021,1.5754,,74.31,,,
7/8/2021,1.5938,,75.07,,,
7/9/2021,1.5858,,77.14,,,
7/12/2021,1.5861,,76.77,,,
7/13/2021,1.5804,,77.5,,,
7/14/2021,1.5818,,75.74,,,
7/15/2021,1.59,,74.53,,,
7/16/2021,1.5944,,74.46,,,
7/19/2021,1.6058,,69.33,,,
7/20/2021,1.6061,,70.03,,,
7/21/2021,1.6022,,72.54,,,
7/22/2021,1.5949,,74.25,,,
7/23/2021,1.5974,,74.86,,,
7/26/2021,1.5978,,74.79,,,
7/27/2021,1.6043,,74.87,,,
7/28/2021,1.605,,75.09,,,
7/29/2021,1.6069,,76.3,,,
7/30/2021,1.6158,,77.72,,,
8/2/2021,1.6119,3,73.91,,,
8/3/2021,1.6027,,73.24,,,
8/4/2021,1.6034,,70.99,,,
8/5/2021,1.5976,,72.14,,,
8/6/2021,1.5983,,71.02,,,
8/9/2021,1.6001,,69.65,,,
8/10/2021,1.5939,,71.14,,,
8/11/2021,1.5917,,71.99,,,
8/12/2021,1.5988,,71.79,,,
8/13/2021,1.5996,,70.9,,,
8/16/2021,1.6047,,70.07,,,
8/17/2021,1.6144,,69.4,,,
8/18/2021,1.619,,68.61,,,
8/19/2021,1.6332,,66.8,,,
8/20/2021,1.6392,,65.51,,,
8/23/2021,1.6287,,69.07,,,
8/24/2021,1.6191,,71.21,,,
8/25/2021,1.6174,,72.12,,,
8/26/2021,1.6229,,70.42,,,
8/27/2021,1.6126,,72.26,,,
8/30/2021,1.616,,,,,
8/31/2021,1.6136,,73.45,,,
9/1/2021,1.6065,3.4,71.99,,,
9/2/2021,1.6042,,73.56,,,
9/3/2021,1.5928,,73.07,,,
9/6/2021,1.5949,,72.43,,,
9/7/2021,1.6019,,71.52,,,
9/8/2021,1.6037,,72.36,,,
9/9/2021,1.6049,,71.32,,,
9/10/2021,1.6058,,72.44,,,
9/13/2021,1.603,,72.97,,,
9/14/2021,1.6123,,73.05,,,
9/15/2021,1.6106,,74.84,,,
9/16/2021,1.6135,,75.14,,,
